sketcher,refiner,load_dir,gcd,finetune,baseline,use_backup,precision,recall,f1,executable_precision,executable_recall,executable_f1,executable_rate,parsing_errors_rate,execution_errors_rate
gpt-3.5-turbo,llama-2-13b,outputs/outputs_1,True,True,False,False,0.6199808880791627,0.3313333333333333,0.21714652346158064,0.6201806690760705,0.35729690869877784,0.2240787811869515,0.9273333333333333,0.016666666666666666,0.056
gpt-3.5-turbo,llama-2-13b,outputs/outputs_2,True,True,False,False,0.6249657299928719,0.332,0.21495130549145855,0.6239953303090142,0.35827338129496406,0.2224024741768916,0.9266666666666666,0.018,0.05533333333333333
gpt-3.5-turbo,llama-2-13b,outputs/outputs_3,True,True,False,False,0.5920655950067715,0.33,0.21316952026171884,0.5905148128690246,0.3563714902807775,0.22117550637898495,0.926,0.017333333333333333,0.056666666666666664
gpt-4o,llama-2-13b,outputs/outputs_1,True,True,False,False,0.6338148463668982,0.4916611074049366,0.4716547279196726,0.6338128314007625,0.49663072776280326,0.4742304271458044,0.989993328885924,0.0,0.01000667111407605
gpt-4o,llama-2-13b,outputs/outputs_2,True,True,False,False,0.6338148463668982,0.4916611074049366,0.4716547279196726,0.6338128314007625,0.49663072776280326,0.4742304271458044,0.989993328885924,0.0,0.01000667111407605
gpt-4o,llama-2-13b,outputs/outputs_3,True,True,False,False,0.6345646565138666,0.49066666666666664,0.4706053688596163,0.6345646565138666,0.49562289562289563,0.4731778257008187,0.99,0.0,0.01
gpt-3.5-turbo,llama-3-8b,outputs/outputs_1,True,False,False,True,0.4965204897157472,0.3626666666666667,0.2469495469934537,0.6203251397380188,0.3595100864553314,0.2277341809076944,0.9253333333333333,0.017333333333333333,0.05733333333333333
gpt-3.5-turbo,llama-3-8b,outputs/outputs_2,True,False,False,True,0.49342049427122275,0.36,0.23984141477798585,0.6236953585890052,0.3584770114942529,0.2225424444182409,0.928,0.018,0.054
gpt-3.5-turbo,llama-3-8b,outputs/outputs_3,True,False,False,True,0.4745528502753937,0.3606666666666667,0.2439499870888031,0.5881118872088503,0.35698924731182796,0.22316945774352762,0.93,0.016,0.054
gpt-3.5-turbo,llama-3-8b,outputs/outputs_1,True,False,False,False,0.6201427062785959,0.33266666666666667,0.22013418584193972,0.6203251397380188,0.3595100864553314,0.2277341809076944,0.9253333333333333,0.017333333333333333,0.05733333333333333
gpt-3.5-turbo,llama-3-8b,outputs/outputs_2,True,False,False,False,0.6250434430717228,0.33266666666666667,0.21513226778506692,0.6236953585890052,0.3584770114942529,0.2225424444182409,0.928,0.018,0.054
gpt-3.5-turbo,llama-3-8b,outputs/outputs_3,True,False,False,False,0.5892835236128705,0.332,0.21567862228315182,0.5881118872088503,0.35698924731182796,0.22316945774352762,0.93,0.016,0.054
