sketcher,refiner,load_dir,gcd,finetune,baseline,use_backup,f1,executable_f1,backup_f1_executable,backup_f1_non_executable,executable_rate
gpt-3.5-turbo,llama-2-7b,outputs/outputs_2,True,True,False,False,0.47785696371101083,0.5255235533699691,0.5257391138753219,0.4903846153846154,0.8423645320197044
gpt-3.5-turbo,llama-2-7b,outputs/outputs_3,True,True,False,False,0.5038282130263072,0.5542057695225298,0.5244309747649679,0.4805339265850946,0.8472906403940886
gpt-4o,llama-2-7b,outputs/outputs_1,True,True,False,True,0.734805612817327,0.71573085165723,0.698486038454785,1.0,0.9408866995073891
gpt-4o,llama-2-7b,outputs/outputs_2,True,True,False,True,0.730429851212588,0.7126687524120655,0.7004351751140289,1.0,0.9458128078817734
gpt-4o,llama-2-7b,outputs/outputs_3,True,True,False,True,0.7336500085198474,0.7171080202898259,0.7010599181365716,0.9253968253968254,0.9310344827586207
gpt-4o,llama-2-7b,outputs/outputs_1,True,True,False,False,0.6906598030425709,0.71573085165723,0.698486038454785,1.0,0.9408866995073891
gpt-4o,llama-2-7b,outputs/outputs_2,True,True,False,False,0.6896517136604392,0.7126687524120655,0.7004351751140289,1.0,0.9458128078817734
gpt-4o,llama-2-7b,outputs/outputs_3,True,True,False,False,0.6893479526378944,0.7171080202898259,0.7010599181365716,0.9253968253968254,0.9310344827586207
gpt-3.5-turbo,llama-2-7b,outputs/outputs_1,False,False,False,True,0.6482922482922483,0.6243998274073462,0.4731241153259502,0.6407407407407407,0.7044334975369458
gpt-3.5-turbo,llama-2-7b,outputs/outputs_2,False,False,False,True,0.5860574759631284,0.5692308312505039,0.5072991891891893,0.5516406890894175,0.7389162561576355
gpt-3.5-turbo,llama-2-7b,outputs/outputs_3,False,False,False,True,0.6109713713042723,0.6110501699042219,0.5141849288383021,0.5332423104638374,0.7339901477832512
gpt-3.5-turbo,llama-2-7b,outputs/outputs_1,False,False,False,False,0.5046417427369808,0.6243998274073462,0.4731241153259502,0.6407407407407407,0.7044334975369458
gpt-3.5-turbo,llama-2-7b,outputs/outputs_2,False,False,False,False,0.4751465881431131,0.5692308312505039,0.5072991891891893,0.5516406890894175,0.7389162561576355
gpt-3.5-turbo,llama-2-7b,outputs/outputs_3,False,False,False,False,0.5062378858708192,0.6110501699042219,0.5141849288383021,0.5332423104638374,0.7339901477832512
gpt-4o,llama-2-7b,outputs/outputs_1,False,False,False,True,0.7356681002078421,0.7312144624198096,0.7131046335239325,0.7453654188948305,0.8817733990147784
gpt-4o,llama-2-7b,outputs/outputs_2,False,False,False,True,0.7264211869602193,0.7148240772635904,0.7072998621742217,0.7903597377281587,0.8817733990147784
gpt-4o,llama-2-7b,outputs/outputs_3,False,False,False,True,0.7397382134876872,0.7205141743161121,0.6982006176772755,0.8415268941584729,0.8719211822660099
gpt-4o,llama-2-7b,outputs/outputs_1,False,False,False,False,0.6824674334343538,0.7312144624198096,0.7131046335239325,0.7453654188948305,0.8817733990147784
gpt-4o,llama-2-7b,outputs/outputs_2,False,False,False,False,0.66715936722718,0.7148240772635904,0.7072998621742217,0.7903597377281587,0.8817733990147784
gpt-4o,llama-2-7b,outputs/outputs_3,False,False,False,False,0.6683102741178966,0.7205141743161121,0.6982006176772755,0.8415268941584729,0.8719211822660099
