sketcher,load_dir,prompt_mode,f1,executable_f1,executable_rate
gpt-3.5-turbo,outputs/outputs_1,dynamic,0.2111133345729043,0.23040230520001692,0.836
gpt-3.5-turbo,outputs/outputs_2,dynamic,0.2093708898173553,0.22676772497330208,0.8473333333333334
gpt-3.5-turbo,outputs/outputs_3,dynamic,0.20847017184652342,0.22591496322952692,0.8426666666666667
gpt-4o,outputs/outputs_1,dynamic,0.45852336431437046,0.4796331138916747,0.9213333333333333
gpt-4o,outputs/outputs_2,dynamic,0.4626773560995896,0.482817851620711,0.9252835223482322
gpt-4o,outputs/outputs_3,dynamic,0.4615465279280247,0.48214990207876174,0.9233333333333333
gpt-3.5-turbo,outputs/outputs_1,static,0.23167040193349187,0.25026897415539323,0.856
gpt-4o,outputs/outputs_1,static,0.44576373094920657,0.4671303350493458,0.918
