sketcher,refiner,load_dir,gcd,finetune,baseline,use_backup,f1,executable_f1,backup_f1_executable,backup_f1_non_executable,executable_rate
gpt-3.5-turbo,llama-2-7b,outputs/outputs_2,False,True,False,False,0.21799436693696891,0.2313797691445058,0.3638929307167558,0.3076107762498295,0.8893333333333333
gpt-3.5-turbo,llama-2-7b,outputs/outputs_3,False,True,False,False,0.2168524336972554,0.2280251831227278,0.3618381840808822,0.32272897659762323,0.8926666666666667
gpt-4o,llama-2-7b,outputs/outputs_1,False,True,False,True,0.4957224680114194,0.47942586055895503,0.7272153088582322,0.7068092937658155,0.9359573048699132
gpt-4o,llama-2-7b,outputs/outputs_2,False,True,False,True,0.4957224680114194,0.47942586055895503,0.7272153088582322,0.7068092937658155,0.9359573048699132
gpt-4o,llama-2-7b,outputs/outputs_3,False,True,False,True,0.4971645198917926,0.47841725072403796,0.7255742389083129,0.7335706546974152,0.9346666666666666
gpt-4o,llama-2-7b,outputs/outputs_1,False,True,False,False,0.4625257361785449,0.47942586055895503,0.7272153088582322,0.7068092937658155,0.9359573048699132
gpt-4o,llama-2-7b,outputs/outputs_2,False,True,False,False,0.4625257361785449,0.47942586055895503,0.7272153088582322,0.7068092937658155,0.9359573048699132
gpt-4o,llama-2-7b,outputs/outputs_3,False,True,False,False,0.46126546007238023,0.47841725072403796,0.7255742389083129,0.7335706546974152,0.9346666666666666
gpt-3.5-turbo,llama-2-13b,outputs/outputs_1,True,False,False,True,0.2430441057001767,0.22361764522528124,0.35880291464236047,0.34422495722653085,0.926
gpt-3.5-turbo,llama-2-13b,outputs/outputs_2,True,False,False,True,0.23952985702211588,0.22376673568278466,0.36202779606428676,0.2988102775389093,0.9293333333333333
gpt-3.5-turbo,llama-2-13b,outputs/outputs_3,True,False,False,True,0.24381635758807624,0.2209601909544973,0.3597995426176738,0.3314606862916621,0.9266666666666666
gpt-3.5-turbo,llama-2-13b,outputs/outputs_1,True,False,False,False,0.21690827305949745,0.22361764522528124,0.35880291464236047,0.34422495722653085,0.926
gpt-3.5-turbo,llama-2-13b,outputs/outputs_2,True,False,False,False,0.21632313704858894,0.22376673568278466,0.36202779606428676,0.2988102775389093,0.9293333333333333
gpt-3.5-turbo,llama-2-13b,outputs/outputs_3,True,False,False,False,0.21311931602174256,0.2209601909544973,0.3597995426176738,0.3314606862916621,0.9266666666666666
gpt-4o,llama-2-13b,outputs/outputs_1,True,False,False,True,0.4752972567501694,0.47201916909217434,0.7260999862456617,0.7388888888888888,0.989993328885924
gpt-4o,llama-2-13b,outputs/outputs_2,True,False,False,True,0.4759532590569837,0.472682594424308,0.7260999862456617,0.7388888888888888,0.989993328885924
gpt-4o,llama-2-13b,outputs/outputs_3,True,False,False,True,0.4765908578470738,0.4733397849676919,0.7262800343702728,0.7388888888888888,0.99
gpt-4o,llama-2-13b,outputs/outputs_1,True,False,False,False,0.46945440788256343,0.47201916909217434,0.7260999862456617,0.7388888888888888,0.989993328885924
gpt-4o,llama-2-13b,outputs/outputs_2,True,False,False,False,0.47011583193903805,0.472682594424308,0.7260999862456617,0.7388888888888888,0.989993328885924
gpt-4o,llama-2-13b,outputs/outputs_3,True,False,False,False,0.47076805304165614,0.4733397849676919,0.7262800343702728,0.7388888888888888,0.99
gpt-3.5-turbo,llama-2-13b,outputs/outputs_1,True,True,False,True,0.24423164138069486,0.2240787811869515,0.3582315886796863,0.3509774495167754,0.9273333333333333
gpt-3.5-turbo,llama-2-13b,outputs/outputs_2,True,True,False,True,0.23868778784873992,0.2224024741768916,0.3616304369515721,0.3057023919651117,0.9266666666666666
gpt-3.5-turbo,llama-2-13b,outputs/outputs_3,True,True,False,True,0.24382298418070622,0.22117550637898495,0.3598713472074347,0.33093540446481623,0.926
gpt-3.5-turbo,llama-2-13b,outputs/outputs_1,True,True,False,False,0.21714652346158064,0.2240787811869515,0.3582315886796863,0.3509774495167754,0.9273333333333333
gpt-3.5-turbo,llama-2-13b,outputs/outputs_2,True,True,False,False,0.21495130549145855,0.2224024741768916,0.3616304369515721,0.3057023919651117,0.9266666666666666
gpt-3.5-turbo,llama-2-13b,outputs/outputs_3,True,True,False,False,0.21316952026171884,0.22117550637898495,0.3598713472074347,0.33093540446481623,0.926
gpt-4o,llama-2-13b,outputs/outputs_1,True,True,False,True,0.477486848499754,0.4742304271458044,0.7260999862456617,0.7388888888888888,0.989993328885924
gpt-4o,llama-2-13b,outputs/outputs_2,True,True,False,True,0.477486848499754,0.4742304271458044,0.7260999862456617,0.7388888888888888,0.989993328885924
gpt-4o,llama-2-13b,outputs/outputs_3,True,True,False,True,0.4764329436271193,0.4731778257008187,0.7262800343702728,0.7388888888888888,0.99
gpt-4o,llama-2-13b,outputs/outputs_1,True,True,False,False,0.4716547279196726,0.4742304271458044,0.7260999862456617,0.7388888888888888,0.989993328885924
gpt-4o,llama-2-13b,outputs/outputs_2,True,True,False,False,0.4716547279196726,0.4742304271458044,0.7260999862456617,0.7388888888888888,0.989993328885924
gpt-4o,llama-2-13b,outputs/outputs_3,True,True,False,False,0.4706053688596163,0.4731778257008187,0.7262800343702728,0.7388888888888888,0.99
gpt-3.5-turbo,llama-2-13b,outputs/outputs_1,False,False,False,True,0.26841340803331615,0.23545882986120112,0.3618487236645614,0.33462194211385077,0.846
gpt-3.5-turbo,llama-2-13b,outputs/outputs_2,False,False,False,True,0.2560342075511914,0.23028560097430978,0.36824606425865547,0.2944532844720896,0.8533333333333334
gpt-3.5-turbo,llama-2-13b,outputs/outputs_3,False,False,False,True,0.26096303793672215,0.22756039172572404,0.364941441220494,0.3174691578574176,0.8473333333333334
gpt-3.5-turbo,llama-2-13b,outputs/outputs_1,False,False,False,False,0.2165873257431891,0.23545882986120112,0.3618487236645614,0.33462194211385077,0.846
gpt-3.5-turbo,llama-2-13b,outputs/outputs_2,False,False,False,False,0.21331162752632382,0.23028560097430978,0.36824606425865547,0.2944532844720896,0.8533333333333334
gpt-3.5-turbo,llama-2-13b,outputs/outputs_3,False,False,False,False,0.21025236740290904,0.22756039172572404,0.364941441220494,0.3174691578574176,0.8473333333333334
gpt-4o,llama-2-13b,outputs/outputs_1,False,False,False,True,0.5031145684794421,0.482817851620711,0.7263807988386969,0.7219525500775502,0.9252835223482322
gpt-4o,llama-2-13b,outputs/outputs_2,False,False,False,True,0.5031145684794421,0.482817851620711,0.7263807988386969,0.7219525500775502,0.9252835223482322
gpt-4o,llama-2-13b,outputs/outputs_3,False,False,False,True,0.5030140018915831,0.48214990207876174,0.7266432045918032,0.7209846001608017,0.9233333333333333
gpt-4o,llama-2-13b,outputs/outputs_1,False,False,False,False,0.4626773560995896,0.482817851620711,0.7263807988386969,0.7219525500775502,0.9252835223482322
gpt-4o,llama-2-13b,outputs/outputs_2,False,False,False,False,0.4626773560995896,0.482817851620711,0.7263807988386969,0.7219525500775502,0.9252835223482322
gpt-4o,llama-2-13b,outputs/outputs_3,False,False,False,False,0.4615465279280247,0.48214990207876174,0.7266432045918032,0.7209846001608017,0.9233333333333333
gpt-3.5-turbo,llama-2-13b,outputs/outputs_1,False,True,False,True,0.26183719101675756,0.2345455386724142,0.36056486905289925,0.3364600301336098,0.878
gpt-3.5-turbo,llama-2-13b,outputs/outputs_2,False,True,False,True,0.25280730276864527,0.2277885642610833,0.3633104048137651,0.31369429418365125,0.886
gpt-3.5-turbo,llama-2-13b,outputs/outputs_3,False,True,False,True,0.25177342185292295,0.22474950625541293,0.36120820908984974,0.32877197366123356,0.8886666666666667
gpt-3.5-turbo,llama-2-13b,outputs/outputs_1,False,True,False,False,0.2205943245106499,0.2345455386724142,0.36056486905289925,0.3364600301336098,0.878
gpt-3.5-turbo,llama-2-13b,outputs/outputs_2,False,True,False,False,0.21471245535161657,0.2277885642610833,0.3633104048137651,0.31369429418365125,0.886
gpt-3.5-turbo,llama-2-13b,outputs/outputs_3,False,True,False,False,0.21322133554355352,0.22474950625541293,0.36120820908984974,0.32877197366123356,0.8886666666666667
gpt-4o,llama-2-13b,outputs/outputs_1,False,True,False,True,0.49221375954794566,0.47723210896666945,0.7261362260293889,0.7204853602443964,0.9446297531687792
gpt-4o,llama-2-13b,outputs/outputs_2,False,True,False,True,0.49221375954794566,0.47723210896666945,0.7261362260293889,0.7204853602443964,0.9446297531687792
gpt-4o,llama-2-13b,outputs/outputs_3,False,True,False,True,0.4927397006245449,0.4761398078294342,0.7252481350087417,0.7391903287630842,0.9433333333333334
gpt-4o,llama-2-13b,outputs/outputs_1,False,True,False,False,0.4627561633085511,0.47723210896666945,0.7261362260293889,0.7204853602443964,0.9446297531687792
gpt-4o,llama-2-13b,outputs/outputs_2,False,True,False,False,0.4627561633085511,0.47723210896666945,0.7261362260293889,0.7204853602443964,0.9446297531687792
gpt-4o,llama-2-13b,outputs/outputs_3,False,True,False,False,0.46149443269794405,0.4761398078294342,0.7252481350087417,0.7391903287630842,0.9433333333333334
gpt-3.5-turbo,llama-3-8b,outputs/outputs_1,True,False,False,True,0.2469495469934537,0.2277341809076944,0.35895223491319417,0.3429058929857349,0.9253333333333333
gpt-3.5-turbo,llama-3-8b,outputs/outputs_2,True,False,False,True,0.23984141477798585,0.2225424444182409,0.360868655042608,0.3145432822852178,0.928
gpt-3.5-turbo,llama-3-8b,outputs/outputs_3,True,False,False,True,0.2439499870888031,0.22316945774352762,0.3601485580017356,0.3249261464008432,0.93
gpt-3.5-turbo,llama-3-8b,outputs/outputs_1,True,False,False,False,0.22013418584193972,0.2277341809076944,0.35895223491319417,0.3429058929857349,0.9253333333333333
gpt-3.5-turbo,llama-3-8b,outputs/outputs_2,True,False,False,False,0.21513226778506692,0.2225424444182409,0.360868655042608,0.3145432822852178,0.928
gpt-3.5-turbo,llama-3-8b,outputs/outputs_3,True,False,False,False,0.21567862228315182,0.22316945774352762,0.3601485580017356,0.3249261464008432,0.93
gpt-4o,llama-3-8b,outputs/outputs_1,True,False,False,True,0.47116086634719984,0.4678151572632128,0.7260999862456617,0.7388888888888888,0.989993328885924
gpt-4o,llama-3-8b,outputs/outputs_2,True,False,False,True,0.47212250415432483,0.468794397690295,0.7260999862456617,0.7388888888888888,0.989993328885924
gpt-4o,llama-3-8b,outputs/outputs_3,True,False,False,True,0.4700851013143372,0.4667404202798893,0.7262800343702728,0.7388888888888888,0.99
gpt-4o,llama-3-8b,outputs/outputs_1,True,False,False,False,0.4652709321075042,0.4678151572632128,0.7260999862456617,0.7388888888888888,0.989993328885924
gpt-4o,llama-3-8b,outputs/outputs_2,True,False,False,False,0.4662442106237043,0.468794397690295,0.7260999862456617,0.7388888888888888,0.989993328885924
gpt-4o,llama-3-8b,outputs/outputs_3,True,False,False,False,0.4641995645949396,0.4667404202798893,0.7262800343702728,0.7388888888888888,0.99
gpt-3.5-turbo,llama-3-8b,outputs/outputs_1,True,True,False,True,0.2454154334071906,0.22420023275759438,0.35764883159248395,0.3582796733390911,0.9253333333333333
gpt-3.5-turbo,llama-3-8b,outputs/outputs_2,True,True,False,True,0.2373716315631443,0.22052127297184893,0.36023451616784885,0.32149980055843635,0.928
gpt-3.5-turbo,llama-3-8b,outputs/outputs_3,True,True,False,True,0.24642639865067323,0.22398442421806594,0.3586728627809509,0.34538547697924016,0.9293333333333333
