sketcher,refiner,load_dir,gcd,finetune,baseline,use_backup,f1,executable_f1,backup_f1_executable,backup_f1_non_executable,executable_rate
gpt-3.5-turbo,llama-2-7b,outputs/outputs_3,False,True,False,False,0.20593190732015226,0.21665107815691545,0.3285152126023016,0.30296944174495194,0.8905660377358491
gpt-4o,llama-2-7b,outputs/outputs_1,False,True,False,True,0.5701275507454783,0.5558646055741986,0.7514868103554417,0.7388325656110041,0.9305135951661632
gpt-4o,llama-2-7b,outputs/outputs_2,False,True,False,True,0.5701275507454783,0.5558646055741986,0.7514868103554417,0.7388325656110041,0.9305135951661632
gpt-4o,llama-2-7b,outputs/outputs_3,False,True,False,True,0.5695519416339607,0.552978808604459,0.7498148878329297,0.7629082913712893,0.929811320754717
gpt-4o,llama-2-7b,outputs/outputs_1,False,True,False,False,0.5336972472195637,0.5558646055741986,0.7514868103554417,0.7388325656110041,0.9305135951661632
gpt-4o,llama-2-7b,outputs/outputs_2,False,True,False,False,0.5336972472195637,0.5558646055741986,0.7514868103554417,0.7388325656110041,0.9305135951661632
gpt-4o,llama-2-7b,outputs/outputs_3,False,True,False,False,0.5306475431701576,0.552978808604459,0.7498148878329297,0.7629082913712893,0.929811320754717
gpt-3.5-turbo,llama-2-13b,outputs/outputs_1,True,False,False,True,0.2298034417274601,0.21173717780073242,0.3256549769537243,0.32781889212044424,0.9260377358490566
gpt-3.5-turbo,llama-2-13b,outputs/outputs_2,True,False,False,True,0.22517328584962734,0.21119561788380967,0.32932145451055966,0.27686001879550265,0.930566037735849
gpt-3.5-turbo,llama-2-13b,outputs/outputs_3,True,False,False,True,0.22708973415581232,0.2089452835556591,0.32827038488747,0.2922652084757348,0.9290566037735849
gpt-3.5-turbo,llama-2-13b,outputs/outputs_1,True,False,False,False,0.20473208865265388,0.21173717780073242,0.3256549769537243,0.32781889212044424,0.9260377358490566
gpt-3.5-turbo,llama-2-13b,outputs/outputs_2,True,False,False,False,0.20435798118278964,0.21119561788380967,0.32932145451055966,0.27686001879550265,0.930566037735849
gpt-3.5-turbo,llama-2-13b,outputs/outputs_3,True,False,False,False,0.20169231125191084,0.2089452835556591,0.32827038488747,0.2922652084757348,0.9290566037735849
gpt-4o,llama-2-13b,outputs/outputs_1,True,False,False,True,0.5475693533834873,0.54473106092648,0.7510199992225218,0.7388888888888888,0.9886706948640483
gpt-4o,llama-2-13b,outputs/outputs_2,True,False,False,True,0.5484627861476795,0.5456362291066027,0.7510199992225218,0.7388888888888888,0.9886706948640483
gpt-4o,llama-2-13b,outputs/outputs_3,True,False,False,True,0.5479980587074268,0.5451786493651712,0.7511975989049319,0.7388888888888888,0.9886792452830189
gpt-4o,llama-2-13b,outputs/outputs_1,True,False,False,False,0.5411688883100795,0.54473106092648,0.7510199992225218,0.7388888888888888,0.9886706948640483
gpt-4o,llama-2-13b,outputs/outputs_2,True,False,False,False,0.5420688776989944,0.5456362291066027,0.7510199992225218,0.7388888888888888,0.9886706948640483
gpt-4o,llama-2-13b,outputs/outputs_3,True,False,False,False,0.5416198076697837,0.5451786493651712,0.7511975989049319,0.7388888888888888,0.9886792452830189
gpt-3.5-turbo,llama-2-13b,outputs/outputs_1,True,True,False,True,0.23112975613957215,0.21216902729564974,0.3252661519023031,0.33297731718036555,0.9267924528301886
gpt-3.5-turbo,llama-2-13b,outputs/outputs_2,True,True,False,True,0.22386780606842607,0.20928270135044183,0.3287665175006895,0.2862955308705761,0.9275471698113208
gpt-3.5-turbo,llama-2-13b,outputs/outputs_3,True,True,False,True,0.22839886080866895,0.20944786017606945,0.32789797528101133,0.29832581722616086,0.9275471698113208
gpt-3.5-turbo,llama-2-13b,outputs/outputs_1,True,True,False,False,0.20502912941639845,0.21216902729564974,0.3252661519023031,0.33297731718036555,0.9267924528301886
gpt-3.5-turbo,llama-2-13b,outputs/outputs_2,True,True,False,False,0.20246770549138882,0.20928270135044183,0.3287665175006895,0.2862955308705761,0.9275471698113208
gpt-3.5-turbo,llama-2-13b,outputs/outputs_3,True,True,False,False,0.20184612732746743,0.20944786017606945,0.32789797528101133,0.29832581722616086,0.9275471698113208
gpt-4o,llama-2-13b,outputs/outputs_1,True,True,False,True,0.5502437631463573,0.5474405189396183,0.7510199992225218,0.7388888888888888,0.9886706948640483
