strategy,refiner,GCD,f1
GGLLM,Llama 3 8b (fine-tuned),False,0.21625842238168916
GGLLM,Llama 3 8b (fine-tuned),True,0.21568357242289204
GGLLM,Llama 3 8b,False,0.21492048618519635
GGLLM,Llama 3 8b,True,0.2169816919700528
GGLLM,Llama 2 7b (fine-tuned),False,0.2186757869358257
GGLLM,Llama 2 7b (fine-tuned),True,0.21618619594050703
GGLLM,Llama 2 7b,False,0.2133524373058173
GGLLM,Llama 2 7b,True,0.21373694834889936
GGLLM,Llama 2 13b (fine-tuned),False,0.21617603846860664
GGLLM,Llama 2 13b (fine-tuned),True,0.21508911640491926
GGLLM,Llama 2 13b,False,0.21338377355747395
GGLLM,Llama 2 13b,True,0.21545024204327626
Chain-of-Thought,GPT-3.5-Turbo,False,0.35772103487779033
GGLLM,GPT-3.5-Turbo,False,0.21341901275372888
LogicLM,GPT-3.5-Turbo,False,0.0039551119888506
